"1","::1 - user [15/Apr/2018:01:17:49 +0000] ""GET /wordpress/index.php/2018/04/14/test/ HTTP/1.1"" 200 0 ""http://localhost/wordpress/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"2","::1 - user [15/Apr/2018:01:18:07 +0000] ""GET /wordpress/index.php/2018/04/14/test/ HTTP/1.1"" 200 0 ""http://localhost/wordpress/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"3","::1 - user [15/Apr/2018:01:18:29 +0000] ""GET /wordpress/wp-admin/options-general.php?page=kl-access-logs%2Fkl-access-logs-options.php&settings-updated=true HTTP/1.1"" 200 0 ""http://localhost/wordpress/wp-admin/options-general.php?page=kl-access-logs%2Fkl-access-logs-options.php"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"4","::1 - user [15/Apr/2018:01:18:33 +0000] ""GET /wordpress/ HTTP/1.1"" 200 0 ""http://localhost/wordpress/index.php/2018/04/14/test/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"5","::1 - user [15/Apr/2018:01:18:36 +0000] ""GET /wordpress/index.php/2018/04/14/test/ HTTP/1.1"" 200 0 ""http://localhost/wordpress/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"6","::1 - user [15/Apr/2018:01:18:38 +0000] ""GET /wordpress/ HTTP/1.1"" 200 0 ""http://localhost/wordpress/index.php/2018/04/14/test/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"7","::1 - user [15/Apr/2018:01:19:31 +0000] ""POST /wordpress/wp-admin/admin-ajax.php HTTP/1.1"" 200 0 ""http://localhost/wordpress/wp-admin/options-general.php?page=kl-access-logs%2Fkl-access-logs-options.php"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"8","::1 - user [15/Apr/2018:01:21:31 +0000] ""POST /wordpress/wp-admin/admin-ajax.php HTTP/1.1"" 200 0 ""http://localhost/wordpress/wp-admin/options-general.php?page=kl-access-logs%2Fkl-access-logs-options.php"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"9","::1 - user [15/Apr/2018:01:23:31 +0000] ""POST /wordpress/wp-admin/admin-ajax.php HTTP/1.1"" 200 0 ""http://localhost/wordpress/wp-admin/options-general.php?page=kl-access-logs%2Fkl-access-logs-options.php"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
"10","::1 - user [15/Apr/2018:01:25:31 +0000] ""POST /wordpress/wp-admin/admin-ajax.php HTTP/1.1"" 200 0 ""http://localhost/wordpress/wp-admin/options-general.php?page=kl-access-logs%2Fkl-access-logs-options.php"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"""
